0,1,2,3,4,5,6,7,8,9,10,11,12
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-2,"AB3-209 BAI, B","BAI, BPS, BRES2, +BTD","RES2, +BTDES2, BYBETHN",BETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-2,"AB3-211 BAI, B","BAI, BPS, BRES2, +BTD","RES2, +BTDES2, BYBFACE",BFACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-3,"AB3-303 BAI, B","BAI, BPS, BRES2, +BTD","RES2, +BTDES2, BYBFACE",BFACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-3,"AB3-304 BAI, B","BAI, BPS, BRES2, +BTD","RES2, +BTDES2, BYBSIXPH",BSIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-3,"AB3-305 BAI, B","BAI, BPS, BRES2, +BTD","RES2, +BTDES2, BYBFACE",BFACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-3,"AB3-306 BAI, B","BAI, BPS, BRES2, +BTD","RES2, +BTDES2, BYBFACE",BFACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-3,"AB3-307 BAI, B","BAI, BPS, BRES2, +BTD","RES2, +BTDES2, BYBSIXPH",BSIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-3,"AB3-308 BAI, B","BAI, BPS, BRES2, +BTD","RES2, +BTDES2, BYBSIXPH",BSIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-3,"AB3-309 BAI, B","BAI, BPS, BRES2, +BTD","RES2, +BTDES2, BYBFACE",BFACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-3,"AB3-313 BAI, B","BAI, BPS, BRES2, +BTD","RES2, +BTDES2, BYBETHN",BETHNUS ETHN,ETHNUS (APT)
